Account Length,VMail Message,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Calls,Churn,Int'l Plan,VMail Plan,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,State,Area Code,Phone
128,25,265,197,245,10,1,0,0,1,110,45,99,17,91,11,3,3,KS,415,382-4657
107,26,162,196,254,14,1,0,0,1,123,27,103,17,103,11,3,4,OH,415,371-7191
137,0,243,121,163,12,0,0,0,0,114,41,110,10,104,7,5,3,NJ,415,358-1921
84,0,299,62,197,7,2,0,1,0,71,51,88,5,89,9,7,2,OH,408,375-9999
75,0,167,148,187,10,3,0,1,0,113,28,122,13,121,8,3,3,OK,415,330-6626
118,0,223,221,204,6,0,0,1,0,98,38,101,19,118,9,6,2,AL,510,391-8027
121,24,218,349,213,8,3,0,0,1,88,37,108,30,118,10,7,2,MA,510,355-9993
147,0,157,103,212,7,0,0,1,0,79,27,94,9,96,10,6,2,MO,415,329-9001
117,0,185,352,216,9,1,0,0,0,97,31,80,30,90,10,4,2,LA,408,335-4719
141,37,259,222,326,11,0,0,1,1,84,44,111,19,97,15,5,3,WV,415,330-8173
65,0,129,229,209,13,4,1,0,0,137,22,83,19,111,9,6,3,IN,415,329-6603
74,0,188,163,196,9,0,0,0,0,127,32,148,14,94,9,5,2,RI,415,344-9403
168,0,129,105,141,11,1,0,0,0,96,22,71,9,128,6,2,3,IA,408,363-1107
95,0,157,248,192,12,3,0,0,0,88,27,75,21,115,9,5,3,MT,510,394-8006
62,0,121,307,203,13,4,0,0,0,70,21,76,26,99,9,6,4,IA,415,366-9238
161,0,333,318,161,5,4,1,0,0,67,57,97,27,128,7,9,1,NY,415,351-7269
85,27,196,281,89,14,1,0,0,1,139,33,90,24,75,4,4,4,ID,408,350-8884
93,0,191,218,130,8,3,0,0,0,114,32,111,19,121,6,3,2,VT,510,386-2923
76,33,190,213,166,10,1,0,0,1,66,32,65,18,108,7,5,3,VA,510,356-2992
73,0,224,160,193,13,1,0,0,0,90,38,88,14,74,9,2,4,TX,415,373-2782
147,0,155,240,209,11,0,0,0,0,117,26,93,20,133,9,4,3,FL,415,396-5800
77,0,62,170,210,6,5,1,0,0,89,11,121,14,64,9,6,2,CO,408,393-7984
130,0,183,73,182,10,0,0,0,0,112,31,99,6,78,8,19,3,AZ,415,358-1958
111,0,110,137,190,8,2,0,0,0,103,19,102,12,105,9,6,2,SC,415,350-2565
132,0,81,245,237,10,0,0,0,0,86,14,72,21,115,11,2,3,VA,510,343-4696
174,0,124,277,251,16,3,0,0,0,76,21,112,24,115,11,5,4,NE,415,331-3698
57,39,213,191,183,10,0,0,0,1,115,36,112,16,115,8,3,3,WY,408,357-3817
